Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$127.90,1.69,1.339%,2217445786000.00,United States,1980,82595090,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$493.41,2.07,0.421%,235849980000.00,United States,1986,1569255,Technology,Computer Software: Prepackaged Software
CRM,Salesforce.com Inc Common Stock,$220.79,-0.30,-0.136%,203347590000.00,United States,2004,4371781,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),$51.77,-0.255,-0.49%,218561837768.00,United States,1990,15780723,Technology,Computer Communications Equipment
FB,Facebook Inc. Class A Common Stock,$313.09,6.83,2.23%,891771952363.00,United States,2012,22813550,Technology,Computer Software: Programming Data Processing
GOOG,Alphabet Inc. Class C Capital Stock,$2249.68,24.93,1.121%,1516591772517.00,United States,2004,1116978,Technology,Computer Software: Programming Data Processing
GOOGL,Alphabet Inc. Class A Common Stock,$2239.03,29.77,1.348%,1509412217035.00,United States,,1202760,Technology,Computer Software: Programming Data Processing
INTC,Intel Corporation Common Stock,$66.25,0.69,1.052%,269792902360.00,United States,,17772209,Technology,Semiconductors
MSFT,Microsoft Corporation Common Stock,$249.90,2.04,0.823%,1884799720173.00,United States,1986,22704664,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$565.74,11.28,2.034%,350758800000.00,United States,1999,6262891,Technology,Semiconductors
ORCL,Oracle Corporation Common Stock,$74.07,-0.21,-0.283%,213583437450.00,United States,1986,12215438,Technology,Computer Software: Prepackaged Software
